From	To
Q9HCI7	55167
P49795	10287
Q8NA69	374877
Q16540	6150
P48023	356
Q96RN5	51586
Q6DKK2	54902
Q8N1S5	201266
O00443	5286
Q6ZQQ6	83889
P24046	2569
O14682	8507
Q9P1W3	57156
Q9NUZ1	55289
Q92844	10010
Q9NVV4	55149
O95409	7546
P19622	2020
P43360	4105
Q86VS8	84376
P17661	1674
P06756	3685
Q6ZVK8	79873
P40123	10486
Q14032	570
O75319	8446
Q9UJQ1	24141
Q2VPB7	91056
Q8IUQ0	157807
O95998	10068
Q9P0J7	56888
P55075	2253
P01906	3118
Q9NQS7	3619
Q6P5Z2	29941
Q12829	10966
P51164	496
P49326	2330
O60941	1838
P55265	103
Q8NG68	150465
Q8IW92	89944
Q9Y5E4	26167
Q8NCB2	79012
P09493	7168
A6NEM1	440295
Q96BR5	65260
P45985	6416
Q6UXB8	221476
Q6VN20	57610
Q99457	4675
P05141	292
O00204	6820
Q9NUI1	26063
Q9BT30	84266
Q14168	4355
Q8WWI1	4008
Q9ULZ3	29108
Q7L0Q8	58480
Q96J02	83737
P26998	1417
Q9BVA0	10300
P54257	9001
Q01538	4661
Q9UDV7	8427
Q9UQ53	11282
Q5TYW2	84210
Q8TA94	147837
O43570	771
Q8NF91	23345
Q9Y376	51719
Q5SWX8	54953
Q9BYE9	54825
P02750	116844
Q9Y6V7	54555
O76001	442186
O00571	1654
P04049	5894
A3KMH1	23078
Q86WA6	670
Q8N4F4	283238
P13804	2108
O60603	7097
Q8IZQ1	23001
P24941	1017
Q9ULV3	25792
Q13636	11031
Q92569	8503
Q2M3C7	80309
Q96HJ9	100996928
Q96HJ9	154791
P49447	1534
P06748	4869
Q12789	2975
P54652	3306
Q96QE4	114659
P18510	3557
Q8NE09	26166
Q7Z4L5	79809
Q5TH69	57221
P07315	1420
Q12948	2296
Q9UPG8	5326
Q96CJ1	55840
P56159	2674
Q8N628	81472
Q8NAG6	126549
Q96SF2	150160
O95563	25874
Q14995	9975
P12018	7441
Q9H2S5	80352
P51948	4331
Q8TDZ2	64780
Q9Y2V7	57511
Q8TED1	493869
Q9BT04	80199
P12645	651
Q96NX9	117154
Q15274	23475
Q9Y5Y4	11251
Q5VUY2	343066
P12314	2209
P53611	5876
Q99933	573
O75419	8318
Q8WUM4	10015
Q9Y2L5	22878
Q96EY4	55319
Q8IYX8	285753
B7ZBB8	648791
A0A0A6YYI9	100526737
O95180	8912
P00568	203
Q9H2D6	11078
Q9Y4G2	9842
Q9H2W6	26589
Q8NBJ7	25870
Q01629	10581
O43291	10653
P54687	586
Q99640	9088
Q9Y6L7	7093
P09960	4048
P78536	6868
Q5W5X9	64927
P24311	1349
Q05209	5782
Q9HC73	64109
Q8N0X4	171425
Q92959	6578
Q15399	7096
Q6PKC3	51061
O60469	1826
Q96JW4	84102
P62316	6633
Q5VW36	54914
Q9Y6X8	22882
Q9Y5V3	9500
Q9UGI6	3782
Q99726	7781
P35326	6700
Q68CP9	196528
O43405	1690
Q9UK85	27120
O00124	7993
P49458	6726
Q9Y2M5	27252
O95568	92342
Q8TEE9	100316904
Q92736	6262
O75064	9909
P30307	995
P62495	2107
Q96N95	252884
Q9Y6N7	6091
Q05996	7783
Q9BYF1	59272
Q9NS82	56301
Q9H814	51808
Q12951	2299
Q9NYK6	54149
Q9H0J9	64761
Q9BU23	91289
A2CJ06	391475
Q9NSC5	9454
Q9UGC7	54516
Q9NWH2	729515
P49006	65108
O14617	8943
Q9Y5V0	51123
Q96M11	219844
Q9NRS4	56649
A6NGQ2	441161
Q5W0B1	79596
P59780	10239
Q9UPR5	6543
Q3SY46	337960
Q8NGS8	138799
P27708	790
Q9GZY6	7462
Q96EY8	326625
P56199	3672
P53602	4597
Q5SYB0	22844
Q7Z699	161742
Q14160	23513
Q96SF7	6913
Q4VC44	84256
Q8TBZ2	84073
O94889	23276
Q2M389	23325
Q9H269	64601
Q96SL8	84922
Q6V9R5	54811
Q96BX8	126308
